,latitude,longitude,geometry,LSOA11CD,IMD19,stops&stations_within_1km,ors_isochrone_area,is_in_regent_street,log_per_sq_ft,log_sqft,log_population,log_park_distance,log_tube_station_distance,log_bus_stop_distance
43,51.526054,-0.066904,POINT (-0.066904 51.526054),E01004313,11032,81,1891.75,0,3.58351893845611,8.229511118964457,10.17923721611527,3.4094961844768505,6.688740691751605,4.495132080779154
44,51.506166,0.076008,POINT (0.076008 51.506166),E01003482,9464,33,871.27,0,3.21124679770371,8.222285073872717,7.51727625547469,2.596000697293587,6.076402943624172,5.817081397615548
45,51.586926,-0.079954,POINT (-0.079954 51.586926),E01002070,10051,99,1545.61,0,3.3874364664121184,8.214194414852564,9.699689416169322,4.401951803481151,6.477187724313131,5.183635766464422
46,51.46974,-0.141379,POINT (-0.141379 51.46974),E01003034,15690,61,1791.99,0,2.70805020110221,8.20685642839965,9.567276781729749,4.272351267864781,6.819197252000346,4.309455941839047
47,51.493153,-0.007573,POINT (-0.007573 51.493153),E01004216,19837,48,1029.36,0,2.918851229218033,8.200837258379849,9.945559006157161,3.110399348532117,6.336064379444871,4.8004902285677025
48,51.582506,-0.018878,POINT (-0.018878 51.582506),E01004443,7369,71,1812.79,0,2.761274962339508,8.198089248956116,9.747715809495595,4.949185331780033,7.8050670442584895,4.221270855794487
49,51.48731,-0.09735,POINT (-0.09735 51.48731),E01003994,5652,86,1847.8,0,3.006672213592325,8.191463051326927,9.492896328315908,5.297767215242556,6.408874694984015,4.591780948869076
50,51.588795,-0.109504,POINT (-0.109504 51.588795),E01002003,5261,63,1891.93,0,2.998229153752578,8.182559264068665,9.379126571047307,5.0344169227610545,6.1830142268310135,5.180940498394464
51,51.522303,-0.08653,POINT (-0.08653 51.522303),E01002704,12549,145,1990.75,0,3.3843902633457743,8.18004072349016,8.902461034368944,4.566221435849517,6.003887067106539,4.58822746525778
52,51.58306,-0.199908,POINT (-0.199908 51.58306),E01000211,19377,78,1795.3,0,3.0497468618602293,8.175547596021026,8.952125188156906,5.7126761418263206,7.145945065834913,4.943283931738559
53,51.48699,-0.12228,POINT (-0.12228 51.48699),E01003109,9248,105,1811.32,0,3.4572626055951043,8.169053149927343,9.227455076316465,3.100542637906336,5.254626677923303,4.617493935676923
54,51.630999,-5.2e-05,POINT (-0.000052 51.630999),E01004358,12717,35,1902.92,0,3.3474449256629084,8.165363632473982,8.96315768201099,3.3203487937988347,8.129961833501094,4.47026642352329
55,51.508216,-0.009207,POINT (-0.009207 51.508216),E01004219,6380,90,1416.79,0,2.840247370713596,8.16194579946869,9.568768378402552,4.5810823904590015,5.070412498132116,4.736286163845628
56,51.50567,-0.08736,POINT (-0.08736 51.50567),E01004027,14772,138,1983.37,0,3.7579389900454307,8.160518247477505,8.587444737107031,4.757547866408974,4.638314784580394,3.2280337626529665
57,51.50567,-0.08736,POINT (-0.08736 51.50567),E01004027,14772,138,1983.37,0,3.7579389900454307,8.160518247477505,8.587444737107031,4.757547866408974,4.638314784580394,3.2280337626529665
58,51.50567,-0.08736,POINT (-0.08736 51.50567),E01004027,14772,138,1983.37,0,3.7579389900454307,8.160518247477505,8.587444737107031,4.757547866408974,4.638314784580394,3.2280337626529665
